StartToll,ExitToll,Car Rate Single,Lcvrate Single,Busrate Single,Threeaxle Single,Fouraxle Single,HCM EME Single,Oversized Single,,,,,,,,,,,,,
Ghatkesar,Tukkuguda,90,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Sultanpur,110,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Ghatkesar,60,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Nanakramguda,170,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Raviryal,70,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Saragudem,90,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Shamshabad,120,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Taramatipet,20,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Rajendra Nagar,150,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Ghatkesar,160,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Medchal,60,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Kandlakoya,60,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Keesara,20,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,TSPA,150,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Kokapet,170,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Patancheru,140,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Pedda Amberpet,40,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Pedda Golconda,110,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Shamirpet,50,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Tukkuguda,90,0,0,0,0,0,0,,,,,,,,,,,,,
Sultanpur,Tukkuguda,150,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Tukkuguda,30,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Tukkuguda,90,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Tukkuguda,10,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Tukkuguda,170,0,0,0,0,0,0,,,,,,,,,,,,,
Shamshabad,Tukkuguda,30,0,0,0,0,0,0,,,,,,,,,,,,,
Taramatipet,Tukkuguda,70,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Tukkuguda,50,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Tukkuguda,110,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Tukkuguda,160,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Tukkuguda,150,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Tukkuguda,110,0,0,0,0,0,0,,,,,,,,,,,,,
TSPA,Tukkuguda,60,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Tukkuguda,70,0,0,0,0,0,0,,,,,,,,,,,,,
Patancheru,Tukkuguda,120,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Amberpet,Tukkuguda,60,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Golconda,Tukkuguda,20,0,0,0,0,0,0,,,,,,,,,,,,,
Shamirpet,Tukkuguda,140,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Sultanpur,110,0,0,0,0,0,0,,,,,,,,,,,,,
Sultanpur,Tukkuguda,150,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Sultanpur,170,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Sultanpur,90,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Sultanpur,160,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Sultanpur,30,0,0,0,0,0,0,,,,,,,,,,,,,
Shamshabad,Sultanpur,110,0,0,0,0,0,0,,,,,,,,,,,,,
Sultanpur,Taramatipet,140,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Sultanpur,90,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Sultanpur,40,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Sultanpur,50,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Sultanpur,230,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Sultanpur,100,0,0,0,0,0,0,,,,,,,,,,,,,
Sultanpur,TSPA,90,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Sultanpur,60,0,0,0,0,0,0,,,,,,,,,,,,,
Patancheru,Sultanpur,20,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Amberpet,Sultanpur,150,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Golconda,Sultanpur,120,0,0,0,0,0,0,,,,,,,,,,,,,
Shamirpet,Sultanpur,70,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Ghatkesar,60,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Tukkuguda,30,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Sultanpur,170,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Nanakramguda,110,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Raviryal,20,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Saragudem,150,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Shamshabad,60,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Taramatipet,40,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Rajendra Nagar,90,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Edulanagulapally,140,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Medchal,140,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Kandlakoya,120,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Keesara,90,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,TSPA,90,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Kokapet,110,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Patancheru,160,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Pedda Amberpet,30,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Pedda Golconda,50,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Shamirpet,110,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Nanakramguda,170,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Tukkuguda,90,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Sultanpur,90,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Nanakramguda,110,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Raviryal,100,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Saragudem,110,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Shamshabad,50,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Taramatipet,160,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Rajendra Nagar,40,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Nanakramguda,40,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Nanakramguda,140,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Nanakramguda,180,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Nanakramguda,150,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,TSPA,20,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Nanakramguda,10,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Patancheru,60,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Pedda Amberpet,140,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Pedda Golconda,60,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Shamirpet,150,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Raviryal,70,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Tukkuguda,10,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Sultanpur,160,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Raviryal,10,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Raviryal,100,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Saragudem,170,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Shamshabad,50,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Taramatipet,60,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Raviryal,60,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Raviryal,120,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Raviryal,150,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Raviryal,140,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Raviryal,100,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,TSPA,70,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Raviryal,90,0,0,0,0,0,0,,,,,,,,,,,,,
Patancheru,Raviryal,140,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Amberpet,Raviryal,50,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Golconda,Raviryal,30,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Shamirpet,120,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Saragudem,90,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Tukkuguda,170,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Sultanpur,30,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Saragudem,150,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Saragudem,110,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Saragudem,170,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Shamshabad,140,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Taramatipet,110,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Saragudem,120,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Saragudem,60,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Saragudem,20,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Saragudem,250,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Saragudem,70,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,TSPA,110,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Saragudem,100,0,0,0,0,0,0,,,,,,,,,,,,,
Patancheru,Saragudem,50,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Amberpet,Saragudem,120,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Golconda,Saragudem,150,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Shamirpet,40,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Shamshabad,120,0,0,0,0,0,0,,,,,,,,,,,,,
Shamshabad,Tukkuguda,30,0,0,0,0,0,0,,,,,,,,,,,,,
Shamshabad,Sultanpur,110,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Shamshabad,60,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Shamshabad,50,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Shamshabad,50,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Shamshabad,140,0,0,0,0,0,0,,,,,,,,,,,,,
Shamshabad,Taramatipet,100,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Shamshabad,20,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Shamshabad,70,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Shamshabad,160,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Shamshabad,170,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Shamshabad,140,0,0,0,0,0,0,,,,,,,,,,,,,
Shamshabad,TSPA,30,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Shamshabad,50,0,0,0,0,0,0,,,,,,,,,,,,,
Patancheru,Shamshabad,90,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Amberpet,Shamshabad,90,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Golconda,Shamshabad,10,0,0,0,0,0,0,,,,,,,,,,,,,
Shamirpet,Shamshabad,170,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Taramatipet,20,0,0,0,0,0,0,,,,,,,,,,,,,
Taramatipet,Tukkuguda,70,0,0,0,0,0,0,,,,,,,,,,,,,
Sultanpur,Taramatipet,140,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Taramatipet,40,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Taramatipet,160,0,0,0,0,0,0,,,,,,,,,,,,,
Raviryal,Taramatipet,60,0,0,0,0,0,0,,,,,,,,,,,,,
Saragudem,Taramatipet,110,0,0,0,0,0,0,,,,,,,,,,,,,
Shamshabad,Taramatipet,100,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Taramatipet,120,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Taramatipet,170,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Taramatipet,90,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Taramatipet,70,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Taramatipet,40,0,0,0,0,0,0,,,,,,,,,,,,,
Taramatipet,TSPA,140,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Taramatipet,150,0,0,0,0,0,0,,,,,,,,,,,,,
Patancheru,Taramatipet,160,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Amberpet,Taramatipet,20,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Golconda,Taramatipet,90,0,0,0,0,0,0,,,,,,,,,,,,,
Shamirpet,Taramatipet,60,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Rajendra Nagar,150,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Tukkuguda,50,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Sultanpur,90,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Rajendra Nagar,90,0,0,0,0,0,0,,,,,,,,,,,,,
Nanakramguda,Rajendra Nagar,40,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Raviryal,60,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Saragudem,120,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Shamshabad,20,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Taramatipet,120,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Rajendra Nagar,60,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Rajendra Nagar,140,0,0,0,0,0,0,,,,,,,,,,,,,
Kandlakoya,Rajendra Nagar,160,0,0,0,0,0,0,,,,,,,,,,,,,
Keesara,Rajendra Nagar,160,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,TSPA,10,0,0,0,0,0,0,,,,,,,,,,,,,
Kokapet,Rajendra Nagar,30,0,0,0,0,0,0,,,,,,,,,,,,,
Patancheru,Rajendra Nagar,70,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Amberpet,Rajendra Nagar,110,0,0,0,0,0,0,,,,,,,,,,,,,
Pedda Golconda,Rajendra Nagar,30,0,0,0,0,0,0,,,,,,,,,,,,,
Rajendra Nagar,Shamirpet,160,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Ghatkesar,160,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Tukkuguda,110,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Sultanpur,40,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Edulanagulapally,140,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Nanakramguda,40,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Raviryal,120,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Saragudem,60,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Shamshabad,70,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Taramatipet,170,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Rajendra Nagar,60,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Medchal,90,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Kandlakoya,200,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Keesara,140,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,TSPA,50,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Kokapet,30,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Patancheru,20,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Pedda Amberpet,160,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Pedda Golconda,90,0,0,0,0,0,0,,,,,,,,,,,,,
Edulanagulapally,Shamirpet,110,0,0,0,0,0,0,,,,,,,,,,,,,
Ghatkesar,Medchal,60,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Tukkuguda,160,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Sultanpur,50,0,0,0,0,0,0,,,,,,,,,,,,,
Bongulur,Medchal,140,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Nanakramguda,140,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Raviryal,150,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Saragudem,20,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Shamshabad,160,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Taramatipet,90,0,0,0,0,0,0,,,,,,,,,,,,,
Medchal,Rajendra Nagar,140,0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
